FREQ	ID	CORRECTED_ID	NAME_AS_IN_TEXT	REGULAR_EXPRESSION
000000001	@PID000001213	@PIDXXXXXXXXX	 الشيخ إبراهيم بن محمد بن حجر	@P\d\d \w*[ ~\n]+الشيخ[ ~\n]+إبراهيم[ ~\n]+بن[ ~\n]+محمد[ ~\n]+بن[ ~\n]+حجر
000000001	@PID000001212	@PIDXXXXXXXXX	 الشيخ عبد الوهاب بن يوسف بن عزان العرنقي	@P\d\d \w*[ ~\n]+الشيخ[ ~\n]+عبد[ ~\n]+الوهاب[ ~\n]+بن[ ~\n]+يوسف[ ~\n]+بن[ ~\n]+عزان[ ~\n]+العرنقي
000000001	@PID000001211	@PIDXXXXXXXXX	 الشيخ الصالح فيروز صاحب الشيخ أبي الغيث بن جميل.	@P\d\d \w*[ ~\n]+الشيخ[ ~\n]+الصالح[ ~\n]+فيروز[ ~\n]+صاحب[ ~\n]+الشيخ[ ~\n]+أبي[ ~\n]+الغيث[ ~\n]+بن[ ~\n]+جميل.
000000001	@PID000001210	@PIDXXXXXXXXX	 الفاضل أبو الحسن علي بن الحسين النحلي	@P\d\d \w*[ ~\n]+الفاضل[ ~\n]+أبو[ ~\n]+الحسن[ ~\n]+علي[ ~\n]+بن[ ~\n]+الحسين[ ~\n]+النحلي
000000001	@PID000001209	@PIDXXXXXXXXX	 الفقيه الإمام البارع أبو علي يحيى بن إبراهيم بن العمك.	@P\d\d \w*[ ~\n]+الفقيه[ ~\n]+الإمام[ ~\n]+البارع[ ~\n]+أبو[ ~\n]+علي[ ~\n]+يحيى[ ~\n]+بن[ ~\n]+إبراهيم[ ~\n]+بن[ ~\n]+العمك.
000000001	@PID000001208	@PIDXXXXXXXXX	 الفقيه الفاضل يحيى بن سالم بن سليمان بن الفضل بن محمد ابن عبد الله الشهابي ثم الكندي	@P\d\d \w*[ ~\n]+الفقيه[ ~\n]+الفاضل[ ~\n]+يحيى[ ~\n]+بن[ ~\n]+سالم[ ~\n]+بن[ ~\n]+سليمان[ ~\n]+بن[ ~\n]+الفضل[ ~\n]+بن[ ~\n]+محمد[ ~\n]+ابن[ ~\n]+عبد[ ~\n]+الله[ ~\n]+الشهابي[ ~\n]+ثم[ ~\n]+الكندي
000000001	@PID000001207	@PIDXXXXXXXXX	 الفقيه أبو عبد الله محمد بن عمر القاضي عمر الهزاز المقدم ذكره.	@P\d\d \w*[ ~\n]+الفقيه[ ~\n]+أبو[ ~\n]+عبد[ ~\n]+الله[ ~\n]+محمد[ ~\n]+بن[ ~\n]+عمر[ ~\n]+القاضي[ ~\n]+عمر[ ~\n]+الهزاز[ ~\n]+المقدم[ ~\n]+ذكره.
000000001	@PID000001206	@PIDXXXXXXXXX	 الفقيه الفاضل عثمان بن محمد بن سوادة الحضرمي PageV01P159 الحنفي	@P\d\d \w*[ ~\n]+الفقيه[ ~\n]+الفاضل[ ~\n]+عثمان[ ~\n]+بن[ ~\n]+محمد[ ~\n]+بن[ ~\n]+سوادة[ ~\n]+الحضرمي[ ~\n]+PageV01P159[ ~\n]+الحنفي
000000001	@PID000001205	@PIDXXXXXXXXX	 الفقيه الصالح أبو عبد الله الحسين بن أبي السعود ابن الحسن بن مسلم بن علي الهمداني.	@P\d\d \w*[ ~\n]+الفقيه[ ~\n]+الصالح[ ~\n]+أبو[ ~\n]+عبد[ ~\n]+الله[ ~\n]+الحسين[ ~\n]+بن[ ~\n]+أبي[ ~\n]+السعود[ ~\n]+ابن[ ~\n]+الحسن[ ~\n]+بن[ ~\n]+مسلم[ ~\n]+بن[ ~\n]+علي[ ~\n]+الهمداني.
000000001	@PID000001204	@PIDXXXXXXXXX	 الإمام الصالح أبو عبد الله محمد بن عبد الله بن علي الهرمل	@P\d\d \w*[ ~\n]+الإمام[ ~\n]+الصالح[ ~\n]+أبو[ ~\n]+عبد[ ~\n]+الله[ ~\n]+محمد[ ~\n]+بن[ ~\n]+عبد[ ~\n]+الله[ ~\n]+بن[ ~\n]+علي[ ~\n]+الهرمل
000000001	@PID000001203	@PIDXXXXXXXXX	 الشيخ الصالح أبو الحسن علي بن عبد الله المعروف بصاحب المقداحة	@P\d\d \w*[ ~\n]+الشيخ[ ~\n]+الصالح[ ~\n]+أبو[ ~\n]+الحسن[ ~\n]+علي[ ~\n]+بن[ ~\n]+عبد[ ~\n]+الله[ ~\n]+المعروف[ ~\n]+بصاحب[ ~\n]+المقداحة
000000001	@PID000001202	@PIDXXXXXXXXX	 الفقيه العامة عبد الله بن يحيى بن أحمد بن عبد الله بن أحمد ابن لهيب الهمداني نسبا	@P\d\d \w*[ ~\n]+الفقيه[ ~\n]+العامة[ ~\n]+عبد[ ~\n]+الله[ ~\n]+بن[ ~\n]+يحيى[ ~\n]+بن[ ~\n]+أحمد[ ~\n]+بن[ ~\n]+عبد[ ~\n]+الله[ ~\n]+بن[ ~\n]+أحمد[ ~\n]+ابن[ ~\n]+لهيب[ ~\n]+الهمداني[ ~\n]+نسبا
000000001	@PID000001201	@PIDXXXXXXXXX	 الفقيه الفاضل أبو زكريا يحيى بن زكريا بن محمد بن أسعد ابن عبد الله بن الكلالي ثم الحميري	@P\d\d \w*[ ~\n]+الفقيه[ ~\n]+الفاضل[ ~\n]+أبو[ ~\n]+زكريا[ ~\n]+يحيى[ ~\n]+بن[ ~\n]+زكريا[ ~\n]+بن[ ~\n]+محمد[ ~\n]+بن[ ~\n]+أسعد[ ~\n]+ابن[ ~\n]+عبد[ ~\n]+الله[ ~\n]+بن[ ~\n]+الكلالي[ ~\n]+ثم[ ~\n]+الحميري
000000001	@PID000001200	@PIDXXXXXXXXX	 الفقيه سراج الدين أبو بكر بن عمر بن إبراهيم بن دعاس الفارسي نسبا	@P\d\d \w*[ ~\n]+الفقيه[ ~\n]+سراج[ ~\n]+الدين[ ~\n]+أبو[ ~\n]+بكر[ ~\n]+بن[ ~\n]+عمر[ ~\n]+بن[ ~\n]+إبراهيم[ ~\n]+بن[ ~\n]+دعاس[ ~\n]+الفارسي[ ~\n]+نسبا
000000001	@PID000001199	@PIDXXXXXXXXX	 الفقيه الصالح أبو العباس أحمد بن محمد بن أحمد بن أسعد	@P\d\d \w*[ ~\n]+الفقيه[ ~\n]+الصالح[ ~\n]+أبو[ ~\n]+العباس[ ~\n]+أحمد[ ~\n]+بن[ ~\n]+محمد[ ~\n]+بن[ ~\n]+أحمد[ ~\n]+بن[ ~\n]+أسعد
000000001	@PID000001198	@PIDXXXXXXXXX	 الفقيه الإمام أبو محمد الحسن بن القاضي أبي الحسن علي بن عمر بن محمد بن علي بن قاسم الحميري.	@P\d\d \w*[ ~\n]+الفقيه[ ~\n]+الإمام[ ~\n]+أبو[ ~\n]+محمد[ ~\n]+الحسن[ ~\n]+بن[ ~\n]+القاضي[ ~\n]+أبي[ ~\n]+الحسن[ ~\n]+علي[ ~\n]+بن[ ~\n]+عمر[ ~\n]+بن[ ~\n]+محمد[ ~\n]+بن[ ~\n]+علي[ ~\n]+بن[ ~\n]+قاسم[ ~\n]+الحميري.
000000001	@PID000001197	@PIDXXXXXXXXX	 الأمير نجم الدين عمر بن يوسف الرين وهو أخو @P02 الملك المظفر لامه.	@P\d\d \w*[ ~\n]+الأمير[ ~\n]+نجم[ ~\n]+الدين[ ~\n]+عمر[ ~\n]+بن[ ~\n]+يوسف[ ~\n]+الرين[ ~\n]+وهو[ ~\n]+أخو[ ~\n]+@P02[ ~\n]+الملك[ ~\n]+المظفر[ ~\n]+لامه.
000000001	@PID000001196	@PIDXXXXXXXXX	 الطواشي نظام الدين مختص المظفري.	@P\d\d \w*[ ~\n]+الطواشي[ ~\n]+نظام[ ~\n]+الدين[ ~\n]+مختص[ ~\n]+المظفري.
000000001	@PID000001195	@PIDXXXXXXXXX	 الفقيه صالح بن علي بن إسماعيل الحضرمي،	@P\d\d \w*[ ~\n]+الفقيه[ ~\n]+صالح[ ~\n]+بن[ ~\n]+علي[ ~\n]+بن[ ~\n]+إسماعيل[ ~\n]+الحضرمي،
